Date	Open	High	Low	Close	Volume	Market Cap
5/24/2018	0.070087	0.074387	0.0687	0.073095	587,902,000	4,608,060,000
5/23/2018	0.075072	0.076696	0.067811	0.069848	608,060,000	4,935,850,000
5/22/2018	0.082253	0.083211	0.074271	0.074829	498,436,000	5,407,940,000
5/21/2018	0.0777	0.084728	0.077382	0.082378	802,233,000	5,108,620,000
5/20/2018	0.069269	0.078197	0.068474	0.077269	470,467,000	4,554,320,000
5/19/2018	0.069481	0.070564	0.067618	0.069144	206,881,000	4,568,230,000
5/18/2018	0.067023	0.06953	0.064977	0.069387	263,305,000	4,406,620,000
5/17/2018	0.071912	0.073442	0.066256	0.067437	304,226,000	4,728,100,000
5/16/2018	0.068191	0.072183	0.064071	0.071954	492,396,000	4,483,440,000
5/15/2018	0.072839	0.073619	0.067555	0.068566	287,628,000	4,789,010,000
5/14/2018	0.076108	0.076108	0.070672	0.072812	463,712,000	5,003,980,000
5/13/2018	0.069153	0.077011	0.067982	0.075613	601,064,000	4,546,690,000
5/12/2018	0.066182	0.071636	0.060636	0.068731	615,174,000	4,351,330,000
5/11/2018	0.073601	0.077209	0.063906	0.065933	836,389,000	4,839,120,000
5/10/2018	0.081007	0.081609	0.073157	0.073574	352,613,000	5,326,040,000
5/9/2018	0.082979	0.082979	0.078888	0.081006	357,911,000	5,455,730,000
5/8/2018	0.083405	0.086035	0.08076	0.083071	372,063,000	5,483,690,000
5/7/2018	0.084966	0.084966	0.079717	0.083086	412,406,000	5,586,330,000
5/6/2018	0.087098	0.087098	0.081907	0.084778	388,707,000	5,726,530,000
5/5/2018	0.086212	0.090875	0.086187	0.087102	476,743,000	5,668,280,000
5/4/2018	0.087085	0.088867	0.081083	0.086811	727,056,000	5,725,660,000
5/3/2018	0.091322	0.091438	0.084533	0.08734	789,151,000	6,004,230,000
5/2/2018	0.092764	0.093038	0.090174	0.091397	401,506,000	6,099,080,000
5/1/2018	0.093745	0.094279	0.086773	0.09336	1,043,370,000	6,163,570,000
4/30/2018	0.089656	0.101197	0.086102	0.093777	1,749,640,000	5,894,710,000
4/29/2018	0.081696	0.090331	0.080684	0.089145	1,161,460,000	5,371,350,000
4/28/2018	0.073807	0.084223	0.073807	0.081662	718,298,000	4,852,670,000
4/27/2018	0.074894	0.079154	0.07184	0.074037	717,530,000	4,924,150,000
4/26/2018	0.069983	0.074566	0.06675	0.074566	759,337,000	4,601,250,000
4/25/2018	0.071681	0.081392	0.066467	0.070015	2,124,440,000	4,712,910,000
4/24/2018	0.058349	0.077469	0.057221	0.07336	1,561,020,000	3,836,350,000
4/23/2018	0.05243	0.058546	0.052384	0.058546	472,464,000	3,447,180,000
4/22/2018	0.053407	0.05451	0.051837	0.05242	319,432,000	3,511,380,000
4/21/2018	0.053659	0.056619	0.049721	0.053677	715,849,000	3,528,000,000
4/20/2018	0.049134	0.053673	0.048199	0.053673	477,675,000	3,230,470,000
4/19/2018	0.04743	0.051807	0.04691	0.049392	587,154,000	3,118,400,000
4/18/2018	0.042006	0.047521	0.041996	0.047521	475,426,000	2,761,820,000
4/17/2018	0.041275	0.0434	0.0407	0.042116	359,111,000	2,713,770,000
4/16/2018	0.042898	0.043903	0.040221	0.041256	296,338,000	2,820,460,000
4/15/2018	0.040062	0.043279	0.040013	0.042971	306,262,000	2,634,010,000
4/14/2018	0.038685	0.041515	0.038567	0.040011	307,575,000	2,543,450,000
4/13/2018	0.039415	0.043226	0.038224	0.039006	484,566,000	2,591,430,000
4/12/2018	0.036143	0.03987	0.035239	0.039564	415,957,000	2,376,310,000
4/11/2018	0.036851	0.037493	0.036001	0.036271	301,439,000	2,422,880,000
4/10/2018	0.035792	0.037169	0.035008	0.036928	303,562,000	2,353,230,000
4/9/2018	0.037645	0.037986	0.034338	0.035756	295,115,000	2,475,120,000
4/8/2018	0.036978	0.038684	0.036735	0.037632	215,713,000	2,431,200,000
4/7/2018	0.036879	0.03815	0.036262	0.037064	245,334,000	2,424,740,000
4/6/2018	0.039294	0.044105	0.035852	0.036918	661,967,000	2,583,490,000
4/5/2018	0.030096	0.050131	0.029025	0.040014	1,488,740,000	1,978,730,000
4/4/2018	0.034684	0.035158	0.029716	0.030136	157,469,000	2,280,400,000
4/3/2018	0.035691	0.035827	0.033471	0.034801	240,608,000	2,346,600,000
4/2/2018	0.032271	0.035755	0.031021	0.035755	241,103,000	2,121,750,000
4/1/2018	0.033955	0.034842	0.028607	0.032152	219,373,000	2,232,460,000
3/31/2018	0.041283	0.042971	0.033591	0.033972	358,492,000	2,714,260,000
3/30/2018	0.042631	0.045609	0.039127	0.041277	349,433,000	2,802,890,000
3/29/2018	0.048966	0.05061	0.043002	0.043002	483,101,000	3,219,420,000
3/28/2018	0.042855	0.049505	0.0426	0.048817	280,836,000	2,817,610,000
3/27/2018	0.044373	0.046132	0.040471	0.043075	274,910,000	2,917,470,000
3/26/2018	0.045341	0.046448	0.03946	0.044378	327,374,000	2,981,060,000
3/25/2018	0.049418	0.049612	0.044861	0.045311	320,430,000	3,249,150,000
3/24/2018	0.041717	0.052989	0.041091	0.04978	706,931,000	2,742,830,000
3/23/2018	0.037853	0.041137	0.03508	0.041137	230,134,000	2,488,770,000
3/22/2018	0.037159	0.039077	0.034523	0.037924	227,472,000	2,443,140,000
3/21/2018	0.038085	0.040039	0.036349	0.037107	232,926,000	2,504,020,000
3/20/2018	0.032728	0.040354	0.031429	0.038113	250,397,000	2,151,820,000
3/19/2018	0.02897	0.032995	0.028221	0.032364	183,591,000	1,904,740,000
3/18/2018	0.028286	0.029387	0.023117	0.028621	127,381,000	1,859,720,000
3/17/2018	0.030164	0.030309	0.028002	0.028358	116,472,000	1,983,220,000
3/16/2018	0.030049	0.031245	0.028954	0.030119	149,356,000	1,975,650,000
3/15/2018	0.031047	0.03119	0.028357	0.030119	169,547,000	2,041,290,000
3/14/2018	0.035701	0.036323	0.030237	0.031057	197,406,000	2,347,250,000
3/13/2018	0.035968	0.037122	0.034525	0.035726	200,526,000	2,364,860,000
3/12/2018	0.038561	0.039508	0.034644	0.036132	228,565,000	2,535,330,000
3/11/2018	0.034751	0.039321	0.033492	0.038716	266,342,000	2,284,820,000
3/10/2018	0.036941	0.038182	0.034484	0.034928	253,447,000	2,428,790,000
3/9/2018	0.036363	0.037402	0.030829	0.036981	295,229,000	2,390,830,000
3/8/2018	0.038488	0.039594	0.035278	0.036425	236,262,000	2,530,480,000
3/7/2018	0.043944	0.044899	0.034816	0.038601	290,194,000	2,889,260,000
3/6/2018	0.046744	0.047626	0.043567	0.043958	262,251,000	3,073,300,000
3/5/2018	0.047755	0.047905	0.04639	0.046776	284,714,000	3,139,800,000
3/4/2018	0.048789	0.049675	0.047162	0.047801	314,649,000	3,207,790,000
3/3/2018	0.052525	0.052737	0.047751	0.048918	399,205,000	3,453,410,000
3/2/2018	0.0487	0.056474	0.047595	0.052947	824,566,000	3,201,930,000
3/1/2018	0.043514	0.049225	0.042367	0.048847	318,231,000	2,860,960,000
2/28/2018	0.042736	0.046405	0.040685	0.043351	298,758,000	2,809,830,000
2/27/2018	0.041792	0.043099	0.041187	0.042731	219,795,000	2,747,730,000
2/26/2018	0.039899	0.042894	0.039	0.041769	189,976,000	2,623,310,000
2/25/2018	0.040821	0.041603	0.039108	0.039883	182,260,000	2,683,920,000
2/24/2018	0.042856	0.045608	0.039374	0.040929	194,793,000	2,817,710,000
2/23/2018	0.040275	0.043552	0.039139	0.042875	159,881,000	2,647,990,000
2/22/2018	0.044461	0.046146	0.039591	0.040674	162,733,000	2,923,230,000
2/21/2018	0.046909	0.048235	0.042935	0.04458	179,053,000	3,084,190,000
2/20/2018	0.051537	0.052074	0.04656	0.046861	198,213,000	3,388,440,000
2/19/2018	0.049555	0.0527	0.049364	0.051542	178,481,000	3,258,170,000
2/18/2018	0.054935	0.055311	0.048708	0.049606	195,043,000	3,611,850,000
2/17/2018	0.052155	0.054914	0.050969	0.054914	231,988,000	3,429,070,000
2/16/2018	0.046489	0.053082	0.046379	0.052449	310,513,000	3,056,550,000
2/15/2018	0.045922	0.048457	0.045087	0.046496	178,913,000	3,019,310,000
